CEO PBId,Twitter Handle
64980-55P,derekmerrill
169602-22P,krrlogic
74501-29P,cyen
43217-83P,ZacBookman
196221-25P,coterienIns
52785-10P,
15090-94P,SteveStoute
45615-79P,
247209-40P,flippnflops
69065-56P,nateps
37106-29P,adharni
43806-70P,CompStackCEO
141633-10P,TheMasonLine
223798-15P,isamlambert
148569-76P,
172894-24P,
36127-54P,
39136-42P,
244420-57P,jmkendall2
77977-18P,OctaneLending
57726-10P,tuckerwcallaway
224791-39P,
40599-55P,RudyNYC
214395-58P,
167514-13P,WoodburyJoseph1
41467-24P,rebeminguela
66758-50P,
62750-71P,odedzehavi
233957-26P,
147799-72P,papayapay
96973-12P,DavidSignal
223341-67P,a_golshan
133752-16P,sedairus7
57320-02P,davevasen
40154-59P,strongdm
47398-15P,eranshir
207124-84P,hellofromLili
49020-04P,
179858-89P,RichSorkin
202746-97P,
37048-87P,
122958-55P,SamPolk
60291-55P,
105936-04P,GuyBejerano
271326-79P,
46080-73P,
60943-06P,StephKirkpat
182493-73P,PaulJoeyPowers
151082-56P,EliFinkel
193455-37P,orenbarzilai
80580-16P,alyrax
150639-31P,
45509-50P,
49980-43P,
133217-38P,synopsi
108851-77P,nehasf
45461-17P,
148982-59P,_M_watson
97269-85P,
273263-05P,
122436-37P,MatanOrel
44481-61P,thazhmon
88540-48P,avifreedman
88217-02P,virtualclay
40954-06P,AndrewYNg
47736-91P,
45570-16P,JohnKobs
163840-60P,pjaburns
192874-78P,cskirchner
72891-10P,tweetTheGuru
60298-84P,McCambridgeMatt
106060-24P,ckj
44307-91P,mahmoudimus
40544-11P,dougludlow
248499-19P,
157057-03P,
122393-98P,
186672-70P,
196660-81P,ApexAI_Inc
42852-07P,yegg
100424-17P,sumirmeghani
221328-10P,MalinkaWal
127588-78P,
174519-91P,
36048-16P,
44318-53P,cgarb
52611-40P,_JackMcDonald_
116804-89P,andy_bromberg
118593-10P,bolingj
132147-01P,songelaron
43003-18P,
49287-88P,mikitamikado
42257-80P,billbarhydt
32450-59P,Stellar_Health_
221693-95P,narayanarjun
64026-10P,
46630-09P,
52804-54P,aaronfeuer
199827-28P,GopalanYadhu
146044-45P,jeff_schumann
80336-89P,mattzeiler
96230-08P,freddier
200298-16P,estebancastano
43731-82P,
35618-32P,bassamtabbara
134290-90P,varo_colin
43469-65P,anthemos
44215-57P,natgordon
79150-60P,jtbatson
191491-03P,pbailis
210263-59P,lynchseattle
129795-67P,
42325-66P,
41373-10P,LaszloBock
176727-97P,AntonioMjuliano
185318-29P,
157874-05P,
141052-69P,agnazem
41291-74P,
95466-70P,
249107-32P,
108464-50P,JimMcGinleyIV
176302-00P,ysherwani
195259-51P,samir_vasavada
55719-28P,akashrnigam
206051-68P,lsanza
204006-79P,
99863-74P,anoopxgupta
157913-38P,seanhenryatl
96131-08P,ethereumJoseph
236980-99P,BM_DataDowntime
207690-94P,ken__chong
157057-03P,
193034-89P,nikil
83912-14P,finbarr
214925-23P,gosteve
127550-17P,brad_rothenberg
125699-95P,eyalbd1
20179-72P,SallieKrawcheck
181024-84P,
176077-99P,Hhorsley
108589-15P,mrcraigcjones
176566-78P,dojiboy9
181995-49P,ktizzel_
47516-77P,atifsiddiq
124076-62P,
113388-04P,
47644-39P,JarrettGBauer
99434-26P,kgosschalk
126854-11P,
199836-19P,clintverse
117698-86P,@DonSchererCEO
117431-11P,fangjin
65161-99P,AaronSchumm
157800-88P,
151058-35P,getFilip
174186-01P,shahar_chen
176563-36P,yuvalb
161190-01P,
87534-73P,blaizeinc
106778-98P,J_Waldmann
158707-45P,wendykgonzalez1
100489-42P,husseinthoughts
120759-13P,hpalan
185042-80P,MichaelRamlet
35359-48P,johnwastaken
42089-68P,ArtAgrawal
215614-54P,
11979-46P,
175736-98P,smullaney
196588-99P,
145186-84P,Barnes_M1
128566-00P,mattfairhurst
39788-11P,day_dree
36381-88P,rajkoneru
200744-56P,aiskandarian
231156-01P,JonasDuss
39830-32P,amirnathoo
35461-54P,rahulvohra
197878-87P,
125379-01P,ThePBXGuy
164644-84P,Andrelcollins1
80583-67P,dye_brian
41827-06P,danmichaeli1
146023-57P,Shimonelkabetz2
240258-52P,LeoreAvidar
53967-34P,EddieVivas
176496-13P,yellowbrickdata
234136-90P,AlekKoenig
198753-13P,naftaharris
213971-41P,GurpssRai
39767-95P,robertjmoore
205888-42P,ReibusInternat1
117119-80P,grahamgaylor
63930-70P,afifkhoury
38817-46P,karl_siebrecht
60772-69P,andy_ruben
228512-08P,NijiSabharwal
176081-86P,diogomonica
213093-10P,everettcookny
242161-93P,GeorgeLeimer
93804-49P,bforgan
226591-12P,sima_inc
95824-45P,haoyuan
96636-43P,redcanary
193034-89P,nikil
98586-73P,adventurejones
39136-69P,tfadp
160338-43P,meirav_oren
30329-83P,
232942-69P,
174286-45P,peterxichen
168238-09P,orcolus
190260-01P,wgapatrick
142126-30P,rzhou186
89919-19P,rickyamper
168945-40P,mrsrobinsin_a
159551-56P,
80738-02P,fastaflee
165080-62P,
214742-44P,
43659-82P,ruzwana
39876-22P,jyotibansalsf
46182-88P,kahuja
192100-33P,guronghuieric
142869-79P,amasad
62166-61P,
16815-70P,
185928-76P,
211251-07P,ajrathner
86526-82P,mattpohlson
180488-53P,luisceze
192016-72P,
192143-17P,dadiomov
112031-83P,
40443-40P,
108312-22P,alessioalionco
52555-60P,seanbehr 
203599-27P,SsimonHYCU
179698-24P,
117560-71P,
12179-17P,tbkopp
149742-01P,MK_LogicGate
124173-46P,KhalZahar
151636-06P,
197614-54P,
104439-16P,mcarroll_
129362-59P,Gmandelzis
120203-92P,SnapRaise
157913-38P,seanhenryatl
38864-98P,jonsidd
186565-78P,leasewithkafene
147738-97P,DenehyXXL
179894-44P,Lennie_S
249463-63P,MCStempel
170141-05P,
103045-87P,tedelliot
43481-98P,arthurmadrid
108777-70P,jboehmig
96119-11P,yinonar
61962-67P,matlasmiller
40395-97P,pdavison
264594-07P,
106063-75P,DeanSysman
53322-49P,matthew_gross
206574-94P,AustinRWoodward
158483-26P,EynatGuez
59924-98P,shishirmehrotra
54190-54P,socureme
38332-72P,Blake_Hall
38251-00P,plibin
161244-28P,Akash1026
35451-55P,
131530-69P,nickfajt
92537-74P,Matt_Elenjickal
125231-05P,gronager
63318-25P,waseem
36807-04P,fdescamps
215651-62P,
170207-83P,kaangunay_
169127-56P,Mr312
118809-19P,JordanDFeldman
43262-65P,CJMacDonald
38369-26P,kabir
13548-88P,
129667-33P,dimitrisirota
90848-35P,fdouetteau
45184-51P,FaisMasud
212680-00P,bella_bongiorno
162710-56P,dfinzer
187511-86P,getEthosLife
42697-45P,HiWoebot
109621-81P,
61099-75P,mahebay
131376-43P,InterosInc
53509-33P,delanuez23
147867-58P,rauchg
200849-59P,estraschnov
45208-45P,linder78
74609-74P,OlegR
216258-22P,victorlugger
130132-81P,waynesalvin
236645-29P,
98154-91P,tommyrva
49370-95P,KiranRaju
168640-30P,rudeegraap
52046-29P,guynirpaz
64251-19P,Michell67007246
180312-40P,Gem_Software
33795-46P,halejamie
83893-96P,popstarr2000
278815-33P,tubergen
160082-11P,meetalijavid
74329-12P,markowitzadam
260104-69P,Xperience_Chris
130835-35P,
49309-21P,Jeff_Schneble
100594-81P,abhinavshashank
56555-92P,Yu_Xu
169334-47P,KentaroKawamori
72538-21P,scott_voigt
54046-00P,pfuloria
186672-70P,KandjiMDM
172756-63P,Rob_Gurz
213073-66P,
40214-35P,
36934-39P,jondahl
135427-60P,capdevielle
41880-16P,bijugk
218362-33P,robertnishihara
150480-73P,
151120-81P,Noam_BenZvi
224534-71P,johnjahnke
95422-42P,michaelchasen
137720-26P,
36295-66P,vijaytella
83848-60P,satyx
40554-28P,sgourley
133557-31P,biilmann
42395-23P,MikeCarvin
120142-18P,BrendanEich
45981-01P,
155798-74P,
52093-54P,jprassl
51161-95P,MikeWhitmireFQ
168092-56P,scottlynn
96610-51P,mobhende
39830-32P,amirnathoo
101832-22P,
143893-81P,Jnavok
121481-65P,Brandon_Brown
103318-93P,
136707-22P,jpdrouin
41309-02P,KMFine
211003-03P,matanbar
42812-65P,samchaudhary_
37276-66P,JustinBorgman
116169-58P,eglyman
85608-82P,manuaero
135506-44P,
136291-78P,
102129-58P,Oliverpaihes
253575-55P,
124106-41P,
85926-25P,classy
35547-04P,immad
140015-26P,
177539-41P,TobennaA
108833-32P,YuvalRooz
203275-54P,sgoldfed
225457-21P,
238745-80P,miguelflarrea
38791-18P,
42866-92P,ZachAHyman
42876-28P,pjsullivan3
37282-06P,MarkDouglas
35846-56P,jason_zintak
47347-48P,eldadfarkash
43826-68P,sqs
209867-50P,jack_naglieri
112031-83P,
151003-54P,jvaibhav1101
200312-29P,davissiksnans
159887-08P,yoyo_thomas
138904-39P,
44481-61P,thazhnon
85748-77P,andrewfarah
41444-74P,patk
92943-28P,
42404-95P,GeoffQL
206574-94P,AustinRWoodward
60149-26P,
63416-26P,
48765-61P,toddschwartz11
92516-59P,havoyan
132483-34P,ritun
97861-96P,AndreiCherny
135788-05P,Erozenrot
52503-40P,callmevlad
172231-12P,Idit_Levine
44596-18P,Claroty
70465-60P,vsikka
36802-54P,l2k
52611-49P,
100005-58P,Umesh_Sachdev
177467-95P,
103045-87P,tedelliot
118768-60P,
248499-19P,
100846-00P,yongkookkim
117802-18P,Arobichaux
153075-34P,jassonbgross
136257-49P,RealFlyhomes
169420-69P,JordanEzrFisher
220992-31P,
215406-91P,jthandy
55124-83P,
228264-67P,Jobvo
137097-19P,
171127-72P,KMelnick77
151017-40P,bvnixon
84856-42P,alexandermans
200926-72P,ricksong
210263-59P,lynchseattle
168240-79P,KendrickEsq
103527-73P,TomLivne
58101-49P,
147867-58P,rauchg
79738-30P,ozalon_
35359-48P,johnwastaken
91186-12P,MilindMahere
168825-97P,konstantin11
173651-23P,Bouazizalex
69095-98P,a_w_king
62304-13P,fly_upside_down
225724-60P,MichelTricot
114088-42P,
176202-82P,blakemur
41163-58P,
174648-88P,
39521-53P,habbott
43613-02P,abrashafi
197567-38P,
191035-72P,TechProd_Arch
173875-33P,
53616-61P,ralf_jokr
180673-57P,joshuamotta
125546-77P,GuyCaspi
250023-25P,
266911-93P,LessenJay
211028-68P,degreed 
62495-47P,
263319-04P,
140416-03P,
230526-73P,
176642-56P,mariociabarra
40169-17P,mcagney
49309-21P,Jeff_Schneble
154223-47P,flottobrasil
195882-31P,bhavinator
194050-36P,
187511-86P,
40395-97P,pdavison
150080-32P,kylenakatsuji
102312-82P,edith_h
151105-60P,
214650-19P,
173281-24P,
36872-56P,
143545-24P,RobertMLee
45025-12P,RossInAustin
116274-16P,
96131-08P,ethereumJoseph
74332-00P,ericwilliamrea
44125-12P,ajshankar
174713-77P,RotemIram
100782-64P,WesSchroll
221587-66P,yonitseru
144854-02P,RicardoFSalgado
145236-88P,kbarday
157174-93P,
101570-05P,janontour
215742-79P,2Ragu
202168-45P,clintsharp
117560-71P,
79224-67P,TTPaiva
139699-36P,
158556-79P,sopp_stuart
100153-99P,LarryAmplify
105163-03P,
105570-19P,leifthunder
36831-88P,nopzor
206878-15P,
89919-19P,rickyamper
95466-70P,
41251-33P,a85
199818-46P,
204606-19P,Hserunjogi
79199-20P,chhopper
53742-79P,bhavintu
126719-65P,DrewDurbin
211003-03P,matanbar
53953-48P,JayVijayam
158483-26P,EynatGuez
40768-39P,parkerconrad
202102-66P,WoodyLevin
38353-87P,tim_sheehan
15141-88P,aaronmatos
53616-61P,ralf_jokr
78835-33P,
49399-66P,
125390-62P,
104928-58P,hdubugras
47982-79P,johnhanke
162710-56P,dfinzer.eth
154499-41P,
111841-39P,abialecki
90821-98P,TopeAwotona
70426-90P,BlockFiZac
85805-38P,
116169-58P,eglyman
168693-85P,
207417-07P,
194050-36P,
44281-63P,
199834-12P,nathanmccauley
92431-45P,theryanking
40903-66P,atgrauer
133808-32P,
43338-52P,tyler
117227-89P,khusya
104928-58P,hdubugras
54051-13P,zachperret
173651-23P,Bouazizalex
137806-03P,jasondailypay
63416-26P,
136724-95P,PeggyJ
114088-42P,
48061-27P,dhubbard585
36716-23P,TransmiSec
47900-53P,frasergeorgew
113388-04P,
154093-24P,isotowright
74051-56P,RodrigoLiang
263319-04P,@KevinChou
63341-38P,
14137-39P,Mashinsky
56140-39P,michaelphilippe
60475-06P,jayparikh
88516-09P,GetAdam
126614-35P,TechTekedra
165620-98P,
48185-29P,AviKarnani
33211-99P,
262052-74P,paddypower
199302-94P,
262114-21P,
70583-68P,BambinoCeo
,
79268-50P,BEEPCEO
110788-03P,
114020-74P,
162652-87P,1_55_AM
232315-57P,bopdropceo
246527-11P,daytonmills
225681-04P,PM_Coghlan
242200-09P,bohan
82630-27P,ziahayat
60231-25P,SameerAShariff
180847-90P,meidadsha
161190-01P,
35785-09P,MichaelCAJanesen
,
93839-86P,
207322-84P,ArmandParadis
39720-61P,kambwani
264546-73P,Craftmanplus
185067-37P,danielmhanover
185067-37P,danielmhanover
191123-83P,atjbruce
36501-76P,databrett
35897-86P,daveselinger
101698-75P,tomlucient
163668-88P,
212059-27P,
235748-17P,
203729-32P,Edgetensor
200827-18P,
174494-89P,
251380-45P,YasarCorp
195743-98P,DavidShrier
210180-88P,fedepo
,
257986-90P,
231860-98P,SeanCon69943052
137837-98P,nedlern
268592-50P,RonnieSloanMck
221757-58P,DmitryUlyanoML
253860-40P,
230898-34P,
239742-37P,Mnylif
282003-76P,
224864-20P,
270909-64P,
84390-22P,BKBuchanan
170783-92P,_maxdeutsch
14103-46P,Mabbott88
264504-61P,
244169-92P,brianjesposito
215540-83P,APFintech
244232-92P,bblos4
232452-28P,
16751-08P,DonaldFrieden
235226-98P,
147892-96P,
273310-57P,
278279-65P,
54162-37P,fridapolli
171107-29P,kevinemoore
47930-59P,JonathanCErwin
83799-64P,
223477-84P,RockvalCEO
224047-18P,HaohanXu
,
66832-03P,ashwinnavin
138793-87P,
262604-17P,Dchoi_1976
264038-77P,
252118-09P,@imdaniconejo
258149-89P,@sirRodgePodge
185203-72P,AngelinaLawton
42352-39P,
,
39876-22P,jyotibansalsf
100069-30P,
158290-21P,
39666-07P,haroon
106446-79P,E_Easterling
33766-93P,tonyhuie
274317-94P,VeeFinance
59290-84P,davehendricks
137263-06P,liranzvibel
199935-64P,
215149-06P,whiskerlabs
233648-56P,jspattorney
178074-01P,
